parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,rain,98861,98876,98877,98884,98901,98903,98904,98905,98907,98915,98936,98937,98940,98941,99581,99618,max,coef,noppt,lin,cap,n,sublim,trncf,radmax,adj,sq,exp,thresh,frac,rate,allsnow
adjmix_rain:hru_98861:mon_1,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98861:mon_10,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98861:mon_11,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98861:mon_12,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98861:mon_2,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98861:mon_3,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98861:mon_4,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98861:mon_5,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98861:mon_6,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98861:mon_7,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98861:mon_8,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98861:mon_9,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98876:mon_1,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98876:mon_10,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98876:mon_11,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98876:mon_12,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98876:mon_2,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98876:mon_3,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98876:mon_4,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98876:mon_5,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98876:mon_6,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98876:mon_7,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98876:mon_8,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98876:mon_9,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98877:mon_1,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98877:mon_10,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98877:mon_11,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98877:mon_12,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98877:mon_2,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98877:mon_3,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98877:mon_4,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98877:mon_5,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98877:mon_6,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98877:mon_7,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98877:mon_8,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98877:mon_9,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98884:mon_1,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98884:mon_10,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98884:mon_11,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98884:mon_12,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98884:mon_2,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98884:mon_3,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98884:mon_4,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98884:mon_5,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98884:mon_6,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98884:mon_7,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98884:mon_8,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98884:mon_9,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98901:mon_1,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98901:mon_10,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98901:mon_11,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98901:mon_12,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98901:mon_2,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98901:mon_3,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98901:mon_4,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98901:mon_5,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98901:mon_6,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98901:mon_7,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98901:mon_8,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98901:mon_9,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98903:mon_1,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98903:mon_10,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98903:mon_11,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98903:mon_12,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98903:mon_2,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98903:mon_3,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98903:mon_4,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98903:mon_5,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98903:mon_6,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98903:mon_7,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98903:mon_8,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98903:mon_9,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98904:mon_1,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98904:mon_10,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98904:mon_11,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98904:mon_12,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98904:mon_2,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98904:mon_3,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98904:mon_4,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98904:mon_5,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98904:mon_6,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98904:mon_7,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98904:mon_8,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98904:mon_9,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98905:mon_1,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98905:mon_10,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98905:mon_11,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98905:mon_12,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98905:mon_2,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98905:mon_3,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98905:mon_4,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98905:mon_5,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98905:mon_6,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98905:mon_7,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98905:mon_8,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98905:mon_9,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98907:mon_1,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98907:mon_10,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98907:mon_11,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98907:mon_12,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98907:mon_2,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98907:mon_3,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98907:mon_4,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98907:mon_5,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98907:mon_6,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98907:mon_7,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98907:mon_8,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98907:mon_9,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98915:mon_1,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98915:mon_10,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98915:mon_11,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98915:mon_12,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98915:mon_2,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98915:mon_3,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98915:mon_4,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98915:mon_5,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98915:mon_6,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98915:mon_7,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98915:mon_8,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98915:mon_9,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98936:mon_1,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98936:mon_10,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98936:mon_11,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98936:mon_12,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98936:mon_2,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98936:mon_3,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98936:mon_4,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98936:mon_5,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98936:mon_6,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98936:mon_7,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98936:mon_8,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98936:mon_9,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98937:mon_1,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98937:mon_10,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98937:mon_11,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98937:mon_12,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98937:mon_2,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98937:mon_3,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98937:mon_4,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98937:mon_5,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98937:mon_6,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98937:mon_7,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98937:mon_8,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98937:mon_9,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98940:mon_1,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98940:mon_10,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98940:mon_11,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98940:mon_12,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98940:mon_2,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98940:mon_3,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98940:mon_4,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_98940:mon_5,log,factor,1.0,0.6,1.4,obs_combo_7,1.0,0.0,1,hru,,,,,,,,,,,,,mon,,,,,,,,,,,,,,,,,,,
